zeta,lambda,M_max,omega_M_max,Q_max,C_eff_max,R99_M_max,B_min
-0.11,-8.75,0.44254,0.80247,0.52792,0.0512,15.79402,-0.004777933
-0.11,-8.125,0.45484,0.79938,0.54294,0.05562,15.26566,-0.005204658
-0.11,-7.5,0.46815,0.79637,0.55923,0.06097,14.78398,-0.005700531
-0.11,-6.875,0.48261,0.79269,0.57697,0.06755,14.23225,-0.006270435
-0.11,-6.25,0.49836,0.78861,0.59635,0.076,13.68351,-0.006941468
-0.11,-5.625,0.51557,0.78381,0.61759,0.08809,13.09943,-0.007725461
-0.11,-5,0.53441,0.77864,0.64092,0.09366,12.53699,-0.008656456
-0.11,-4.375,0.55506,0.77222,0.66659,0.09472,11.92793,-0.00975865
-0.11,-3.75,0.57765,0.76535,0.6948,0.09659,11.35562,-0.011066926
-0.11,-3.125,0.60226,0.75761,0.72566,0.09884,10.78923,-0.012606703
-0.11,-2.5,0.6288,0.75012,0.7591,0.1013,10.32668,-0.014404089
-0.11,-1.875,0.65702,0.74241,0.79482,0.10381,9.90312,-0.016455727
-0.11,-1.25,0.68647,0.73603,0.83225,0.10631,9.62872,-0.01871086
-0.11,-0.625,0.71665,0.73002,0.8707,0.10867,9.40262,-0.021111785
-0.11,0,0.74706,0.7261,0.90954,0.11099,9.31345,-0.02361011
-0.11,5,0.97492,0.71256,1.20111,0.12523,9.68968,-0.042802778
-0.11,10,1.16754,0.70929,1.44716,0.13455,10.52624,-0.058665507
-0.11,15,1.33451,0.70747,1.66,0.14117,11.33936,-0.072040313
-0.11,20,1.48348,0.70631,1.8496,0.14622,12.11809,-0.083720382
-0.1,-20,0.311374068,0.843022868,0.361483329,0.021899305,22.57270898,-0.001679678
-0.1,-17.5,0.33008,0.84106,0.38346,0.02514,21.25457,-0.002011557
-0.1,-15,0.35257,0.83726,0.40996,0.02951,19.77414,-0.002469794
-0.1,-13.75,0.36566,0.83474,0.42542,0.03233,18.92135,-0.002764527
-0.1,-12.5,0.38029,0.8319,0.44272,0.03576,18.08541,-0.003119446
-0.1,-11.25,0.39678,0.82828,0.46226,0.04001,17.13451,-0.003560243
-0.1,-10,0.41553,0.82413,0.48455,0.04545,16.21255,-0.004112609
-0.1,-9.375,0.42592,0.82182,0.49693,0.04878,15.76392,-0.004438023
-0.1,-8.75,0.43709,0.81917,0.51026,0.05266,15.27919,-0.004812142
-0.1,-8.125,0.44913,0.81626,0.52466,0.05724,14.83437,-0.005241568
-0.1,-7.5,0.46216,0.81256,0.54028,0.06279,14.25089,-0.005737545
-0.1,-6.875,0.47629,0.80905,0.55725,0.06965,13.77547,-0.006303996
-0.1,-6.25,0.49167,0.80453,0.57578,0.07856,13.1999,-0.006971447
-0.1,-5.625,0.50844,0.79956,0.59604,0.09234,12.64193,-0.007755782
-0.1,-5,0.52676,0.79441,0.61826,0.09379,12.1401,-0.008670206
-0.1,-4.375,0.5468,0.78787,0.64265,0.09501,11.55089,-0.009756585
